year,mode,staff_flag,proximity,epistemic_source,n_turns
2003,clip,guest,unresolved,sector_default,462
2003,clip,staff,commentary,sector_default,1052
2003,clip,staff,commentary,lexicon,1
2003,clip,staff,direct,sector_default,4
2003,clip,staff,direct,lexicon,10
2003,clip,staff,expert,lexicon,78
2003,clip,staff,unresolved,sector_default,518
2003,live,guest,commentary,lexicon,909
2003,live,guest,commentary,form,207
2003,live,guest,commentary,standing_rule,136
2003,live,guest,commentary,sector_default,345
2003,live,guest,direct,lexicon,1190
2003,live,guest,direct,sector_default,157
2003,live,guest,direct,name_title,5
2003,live,guest,expert,name_title,12
2003,live,guest,expert,lexicon,118
2003,live,guest,expert,sector_default,61
2003,live,guest,expert,topic_needed,9
2003,live,guest,institutional,lexicon,176
2003,live,guest,institutional,sector_default,54
2003,live,guest,institutional,name_title,1
2003,live,guest,unresolved,sector_default,1438
2003,live,staff,commentary,sector_default,1589
2003,live,staff,commentary,lexicon,138
2003,live,staff,direct,sector_default,49
2003,live,staff,direct,lexicon,7
2003,live,staff,expert,lexicon,215
2003,live,staff,expert,topic_needed,20
2003,live,staff,unresolved,sector_default,7554
2004,clip,guest,commentary,lexicon,122
2004,clip,guest,commentary,sector_default,93
2004,clip,guest,commentary,standing_rule,92
2004,clip,guest,commentary,form,100
2004,clip,guest,direct,lexicon,971
2004,clip,guest,direct,sector_default,87
2004,clip,guest,direct,name_title,10
2004,clip,guest,expert,name_title,26
2004,clip,guest,expert,sector_default,45
2004,clip,guest,expert,lexicon,59
2004,clip,guest,expert,topic_needed,4
2004,clip,guest,institutional,name_title,8
2004,clip,guest,institutional,sector_default,34
2004,clip,guest,institutional,lexicon,36
2004,clip,guest,unresolved,sector_default,478
2004,clip,staff,commentary,sector_default,1550
2004,clip,staff,commentary,lexicon,12
2004,clip,staff,direct,lexicon,30
2004,clip,staff,direct,sector_default,5
2004,clip,staff,expert,lexicon,99
2004,clip,staff,unresolved,sector_default,848
2004,live,guest,commentary,form,442
2004,live,guest,commentary,sector_default,470
2004,live,guest,commentary,lexicon,475
2004,live,guest,commentary,standing_rule,190
2004,live,guest,direct,lexicon,1593
2004,live,guest,direct,sector_default,94
2004,live,guest,direct,name_title,7
2004,live,guest,expert,lexicon,120
2004,live,guest,expert,sector_default,126
2004,live,guest,expert,name_title,9
2004,live,guest,expert,topic_needed,33
2004,live,guest,institutional,name_title,1
2004,live,guest,institutional,lexicon,20
2004,live,guest,institutional,sector_default,14
2004,live,guest,unresolved,sector_default,1040
2004,live,staff,commentary,sector_default,1448
2004,live,staff,commentary,lexicon,85
2004,live,staff,direct,sector_default,120
2004,live,staff,direct,lexicon,49
2004,live,staff,expert,lexicon,528
2004,live,staff,expert,name_title,1
2004,live,staff,unresolved,sector_default,9399
2005,clip,guest,commentary,sector_default,163
2005,clip,guest,commentary,lexicon,109
2005,clip,guest,commentary,form,78
2005,clip,guest,commentary,standing_rule,53
2005,clip,guest,direct,lexicon,1468
2005,clip,guest,direct,sector_default,111
2005,clip,guest,direct,name_title,28
2005,clip,guest,expert,sector_default,27
2005,clip,guest,expert,lexicon,52
2005,clip,guest,expert,name_title,41
2005,clip,guest,expert,topic_needed,4
2005,clip,guest,institutional,sector_default,100
2005,clip,guest,institutional,name_title,14
2005,clip,guest,institutional,lexicon,46
2005,clip,guest,unresolved,sector_default,831
2005,clip,staff,commentary,sector_default,1978
2005,clip,staff,commentary,lexicon,6
2005,clip,staff,direct,sector_default,34
2005,clip,staff,direct,lexicon,47
2005,clip,staff,expert,lexicon,79
2005,clip,staff,unresolved,sector_default,818
2005,live,guest,commentary,form,300
2005,live,guest,commentary,lexicon,512
2005,live,guest,commentary,sector_default,417
2005,live,guest,commentary,standing_rule,10
2005,live,guest,direct,sector_default,161
2005,live,guest,direct,lexicon,1061
2005,live,guest,direct,name_title,13
2005,live,guest,expert,sector_default,76
2005,live,guest,expert,lexicon,150
2005,live,guest,expert,name_title,9
2005,live,guest,expert,topic_needed,1
