year,mode,rank,canonical_id,n_turns,share
2024,live,14,marc lotter,580,0.004558673268883125
2024,live,15,robert hur,550,0.004322879823940895
2025,live,1,donald trump,1594,0.06038564988445657
2025,live,2,arthur aidala,340,0.01288025154373603
2025,live,3,kevin o'leary,248,0.009395007008372163
2025,live,4,melik abdul,201,0.0076145016479145355
2025,live,5,peter navarro,180,0.006818956699624957
2025,live,6,bill gates,149,0.005644580823578437
2025,live,7,larry sabato,147,0.005568814638027049
2025,live,8,karoline leavitt,146,0.005530931545251355
2025,live,9,matt gorman,140,0.005303632988597189
2025,live,10,julie roginsky,133,0.00503845133916733
2025,live,11,meghan hays,133,0.00503845133916733
2025,live,12,bryan lanza,119,0.004508088040307611
2025,live,13,john bolton,114,0.00431867257642914
2025,live,14,david acuna,110,0.004167140205326362
2025,live,15,elon musk,104,0.003939841648672198
