axis,quintile,category,share
sector,rarest,academic,0.0479886369400903
sector,rarest,business,0.10669777980689561
sector,rarest,entertainment_sport,0.05309525017332048
sector,rarest,government_executive,0.1518118331388762
sector,rarest,government_legislative,0.023757588055259644
sector,rarest,government_subnational,0.026598353032685706
sector,rarest,judicial_legal,0.07076548470552427
sector,rarest,labor_union,0.0013189265966621012
sector,rarest,law_enforcement,0.06679179560019614
sector,rarest,media,0.0924939549197653
sector,rarest,military,0.03216151778014508
sector,rarest,nonprofit_advocacy,0.020680092663048072
sector,rarest,party_campaign,0.02064627403236443
sector,rarest,private_individual,0.2246064356854191
sector,rarest,professional,0.04849591640034495
sector,rarest,religious,0.008961937131165559
sector,rarest,think_tank,0.0031282233382370346
sector,2,academic,0.06729339837943092
sector,2,business,0.11488452921839995
sector,2,entertainment_sport,0.0480517577102657
sector,2,government_executive,0.13991541215636188
sector,2,government_legislative,0.018341324511630827
sector,2,government_subnational,0.024078222817780198
sector,2,judicial_legal,0.06881137329620401
sector,2,labor_union,0.0010887544230648437
sector,2,law_enforcement,0.06062477753815875
sector,2,media,0.11444483993216223
sector,2,military,0.029804652331400096
sector,2,nonprofit_advocacy,0.021251648834823392
sector,2,party_campaign,0.019827893050815518
sector,2,private_individual,0.2090303804359205
sector,2,professional,0.04976863968509872
sector,2,religious,0.008615816251753523
sector,2,think_tank,0.004166579426728921
sector,3,academic,0.08755930004095211
sector,3,business,0.13227532704173894
sector,3,entertainment_sport,0.03896892700860915
sector,3,government_executive,0.12859883953673495
sector,3,government_legislative,0.014908409907650683
sector,3,government_subnational,0.020926990203702256
sector,3,judicial_legal,0.06485158309828047
sector,3,labor_union,0.000565967413160813
sector,3,law_enforcement,0.049432422110460277
sector,3,media,0.161696429803936
sector,3,military,0.025436324064658327
sector,3,nonprofit_advocacy,0.028312174741288474
sector,3,party_campaign,0.018810364105702467
sector,3,private_individual,0.16399711034524012
sector,3,professional,0.04781274300938217
sector,3,religious,0.007445002231660125
sector,3,think_tank,0.008402085336842637
sector,4,academic,0.08182135338916881
sector,4,business,0.13438722983123574
sector,4,entertainment_sport,0.03762605106833398
sector,4,government_executive,0.12812650555229887
sector,4,government_legislative,0.015129688126695415
sector,4,government_subnational,0.022278020775731742
sector,4,judicial_legal,0.05861775169274511
sector,4,labor_union,0.0007333448833174719
sector,4,law_enforcement,0.0448052364147267
sector,4,media,0.19328265580018844
sector,4,military,0.023984412267981783
sector,4,nonprofit_advocacy,0.02502865740927527
sector,4,party_campaign,0.020801837871448677
sector,4,private_individual,0.15389088112930366
sector,4,professional,0.0443092199726123
sector,4,religious,0.007708427770275562
sector,4,think_tank,0.0074687260446604665
sector,commonest,academic,0.03719987716154553
sector,commonest,business,0.04659800880090861
sector,commonest,entertainment_sport,0.11063709839166942
sector,commonest,government_executive,0.21211881957241754
sector,commonest,government_legislative,0.01871966600761589
sector,commonest,government_subnational,0.010566888154550196
sector,commonest,judicial_legal,0.08635953439229258
sector,commonest,labor_union,0.00015484432959829328
sector,commonest,law_enforcement,0.03091418725228148
sector,commonest,media,0.18372857132419712
sector,commonest,military,0.020660758699505608
sector,commonest,nonprofit_advocacy,0.010077844039000031
sector,commonest,party_campaign,0.049095786890836636
sector,commonest,private_individual,0.11952733120259365
sector,commonest,professional,0.05325207266323526
sector,commonest,religious,0.0037139070712479535
sector,commonest,think_tank,0.006674804046504206
epistemic_role,rarest,commentator,0.16523782952028274
epistemic_role,rarest,expert,0.11464515801755187
epistemic_role,rarest,eyewitness,0.031146958859635775
epistemic_role,rarest,participant,0.06078898865384941
epistemic_role,rarest,personal_experience,0.1761612472310996
epistemic_role,rarest,popular_opinion,0.008268655202150865
epistemic_role,rarest,principal,0.3412807115439896
epistemic_role,rarest,spokesperson,0.10247045097144017
epistemic_role,2,commentator,0.19107640124788006
epistemic_role,2,expert,0.13819853018152886
epistemic_role,2,eyewitness,0.030526999015933504
epistemic_role,2,participant,0.056772261887313914
epistemic_role,2,personal_experience,0.15975377399970686
epistemic_role,2,popular_opinion,0.01019660392370344
epistemic_role,2,principal,0.31871191976717406
epistemic_role,2,spokesperson,0.09476350997675928
epistemic_role,3,commentator,0.24490744362182335
epistemic_role,3,expert,0.1663806153860312
epistemic_role,3,eyewitness,0.025491540397649625
epistemic_role,3,participant,0.04809802739650389
epistemic_role,3,personal_experience,0.12519383233560488
epistemic_role,3,popular_opinion,0.007808509757186176
epistemic_role,3,principal,0.2987341655661745
epistemic_role,3,spokesperson,0.08338586553902644
epistemic_role,4,commentator,0.27410010988306827
epistemic_role,4,expert,0.1536938985231051
epistemic_role,4,eyewitness,0.023716231129422317
epistemic_role,4,participant,0.04469369204736126
epistemic_role,4,personal_experience,0.11861438162888002
epistemic_role,4,popular_opinion,0.007034414997258856
epistemic_role,4,principal,0.2998217663406565
epistemic_role,4,spokesperson,0.07832550545024765
epistemic_role,commonest,commentator,0.329758322647032
epistemic_role,commonest,expert,0.11516529337579728
epistemic_role,commonest,eyewitness,0.014823810956992164
epistemic_role,commonest,participant,0.03837051914802152
epistemic_role,commonest,personal_experience,0.08521316784866076
epistemic_role,commonest,popular_opinion,0.009793844926114272
epistemic_role,commonest,principal,0.3459156331730761
epistemic_role,commonest,spokesperson,0.06095940792430587
