# Gender for frequently cited people, resolved from Wikidata P21 and
# frozen so runs are reproducible offline. Regenerate with
# covered.wikidata.refresh(), then read the diff before committing:
# check qid/label actually name the person meant. A gender_qid that
# is neither Q6581097 nor Q6581072 is recorded, not coerced.
name_norm,qid,label,gender,gender_qid,occupation
mitch mcconnell,Q355522,Mitch McConnell,male,Q6581097,Q82955
mo brooks,Q1941306,Mo Brooks,male,Q6581097,Q82955
nancy pelosi,Q170581,Nancy Pelosi,female,Q6581072,Q82955
nic robertson,Q15995434,Nic Robertson,male,Q6581097,Q1930187
nick paton walsh,Q15995568,Nick Paton Walsh,male,Q6581097,Q1930187
nikki haley,Q11668,Nikki Haley,female,Q6581072,Q82955
nina khrushcheva,Q4501927,Nina Khrushcheva,female,Q6581072,Q203184
olga smirnova,Q16234192,Olga Smirnova,female,Q6581072,Q805221
owen martin,Q75827215,Owen Martin,male,Q6581097,
paula reid,Q90581902,Paula Reid,female,Q6581072,Q1930187
phillip ensler,Q122822564,Phillip Ensler,male,Q6581097,Q37226
rachael bade,Q72011875,Rachael Bade,female,Q6581072,Q1930187
richard clarida,Q7324755,Richard Clarida,male,Q6581097,Q188094
richard donoghue,Q97573914,Richard Donoghue,male,Q6581097,
richard gabriel,Q112390010,Richard Gabriel,male,Q6581097,
ron dermer,Q7363705,Ron Dermer,male,Q6581097,Q1930187
ron desantis,Q3105215,Ron DeSantis,male,Q6581097,Q82955
ruben gallego,Q16218474,Ruben Gallego,male,Q6581097,Q82955
ryan goodman,Q7384096,Ryan Goodman,male,Q6581097,Q121594
s e cupp,Q7387458,S. E. Cupp,female,Q6581072,Q1930187
sara fischer,Q104544512,Sara Fischer,female,Q6581072,
sarah longwell,Q72759128,Sarah Longwell,female,Q6581072,Q2516866
scott jennings,Q6107082,Scott Jennings,male,Q6581097,Q1930187
sergey lavrov,Q58217,Sergey Lavrov,male,Q6581097,Q193391
shermichael singleton,Q126683358,Shermichael Singleton,male,Q6581097,Q8125919
steve bannon,Q16146870,Steve Bannon,male,Q6581097,Q3282637
steve hall,Q104839408,Steve Hall,male,Q6581097,Q19204627
steven johnson,Q980046,Steven Johnson,male,Q6581097,Q1930187
susan glasser,Q47465855,Susan Glasser,female,Q6581072,Q1930187
tara palmeri,Q23008068,Tara Palmeri,female,Q6581072,Q1930187
ted brandsen,Q19309864,Ted Brandsen,male,Q6581097,Q2490358
thomas gift,Q89290999,Thomas L Gift,male,Q6581097,Q1650915
tim parlatore,Q131401367,Tim Parlatore,male,Q6581097,Q40348
tucker carlson,Q743162,Tucker Carlson,male,Q6581097,Q1642960
ursula von der leyen,Q60772,Ursula von der Leyen,female,Q6581072,Q39631
vladyslav atroshenko,Q12079666,Vladyslav Atroshenko,male,Q6581097,Q82955
william tong,Q115947574,William Tong,unknown,,
yuri shvets,Q1713928,Yuri Shvets,male,Q6581097,Q1930187
